"","Customer","TransDate","Quantity","PurchAmount","Cost","TransID"
"880",199600,"07.11.2011",1,19.95,9.5,132465823
"881",169225,"23.03.2008",1,34.95,12.26,128778282
"882",136851,"17.03.2009",1,69.95,21.8,126379968
"883",154337,"12.07.2010",5,349.75,167.5,131368613
"884",117948,"14.04.2007",1,4.95,3.19,125185878
"885",125829,"26.12.2007",1,299.95,166,125650129
"886",164516,"08.04.2009",1,49.95,10.5,129223750
"887",181851,"17.08.2010",1,59.95,18.46,131214221
"888",103612,"29.10.2005",1,99.95,42.75,124411197
"889",159144,"12.03.2010",1,14.95,3.15,128329936
"890",188333,"16.08.2010",1,59.95,20.63,129995870
"891",182805,"17.02.2012",1,249.95,105.8,129286027
"892",114412,"12.04.2006",1,129.95,59,124964020
"893",125951,"01.01.2008",1,79.95,39,125660952
"894",177583,"12.10.2008",1,69.95,27,129054489
"895",119482,"30.07.2007",1,199.95,108,125290503
"896",101996,"18.03.2005",1,89.95,46,124374017
"897",166867,"28.07.2008",1,99.95,50,128867698
"898",191013,"28.02.2010",1,99.95,34.2,131099745
"899",147662,"29.03.2010",1,119.95,35.85,127947679
"900",121789,"19.11.2007",1,64.95,54,125441676
"901",147147,"31.07.2005",1,49.95,25,127929686
"902",117577,"19.03.2007",1,29.95,11.25,125158470
"903",129711,"24.07.2008",1,45,18,125924229
"904",126647,"25.04.2008",1,99.95,53,125809914
"905",157345,"16.11.2006",1,99.95,25.71,128278824
"906",106206,"12.02.2005",1,15.95,6,124469648
"907",109153,"19.01.2006",1,49.95,21.8,124557065
"908",166739,"03.12.2011",1,79.95,28.52,131475076
"909",120416,"04.09.2009",1,119.95,65,126400653
"910",115428,"12.11.2006",1,29.95,16.18,125012994
"911",180963,"18.12.2011",1,49.95,16,129195164
"912",193866,"12.05.2010",1,149.95,69,131360685
"913",192628,"26.10.2010",1,299.95,194.99,131268122
"914",159763,"24.11.2008",1,79.95,30.97,128999542
"915",150187,"06.12.2010",1,69.95,20.75,128024438
"916",162617,"15.05.2007",1,19.95,2.23,128450299
"917",189378,"14.12.2010",2,39.9,47,131397286
"918",189395,"03.01.2011",1,34.95,15.75,130670448
"919",199047,"13.06.2012",1,79.95,36,131909431
"920",153177,"20.03.2007",1,69.95,30,128418846
"921",162070,"17.12.2010",1,29.95,22,128428189
"922",140008,"11.04.2009",1,69.95,21.85,127591334
"923",150829,"12.05.2005",1,164.95,23.27,128042567
"924",132161,"29.11.2008",1,29.95,10.73,126139367
"925",104865,"20.03.2010",1,169.95,81,127939617
"926",154302,"13.06.2006",1,29.95,12.35,128169281
"927",189668,"09.04.2012",1,59.95,30,131961282
"928",119287,"14.07.2007",1,329.95,181,125276011
"929",161988,"16.12.2010",1,39.95,14,128425397
"930",157322,"15.11.2006",1,89.95,50,128278024
"931",135916,"21.01.2009",1,29.95,15,126329869
"932",175070,"06.11.2012",1,199.95,92,130055949
"933",112019,"20.09.2010",1,49.95,16.5,131235433
"934",194088,"18.12.2010",1,119.95,47,131407860
"935",129208,"21.06.2008",1,12.95,2.7,125883466
"936",195200,"04.06.2011",1,79.95,16.09,131493251
"937",176200,"12.05.2011",1,49.95,14.74,129078042
"938",165796,"04.04.2011",1,59.95,19.29,128610792
"939",173003,"09.03.2008",1,269.95,183,128890904
"940",175727,"22.11.2008",1,29.95,12,128993993
"941",177118,"03.11.2012",1,59.95,21.72,129316880
"942",110867,"26.06.2006",1,11.95,3,124733986
"943",138109,"28.06.2009",1,699.95,330,126489800
"944",183194,"11.09.2009",1,3.95,1.28,129304037
"945",130501,"15.09.2008",1,69.95,29.87,125978256
"946",191232,"04.05.2010",1,29.95,12.5,131124104
"947",155529,"11.09.2010",1,99.95,42.75,128218760
"948",173992,"06.08.2012",1,249.95,149,131905532
"949",163508,"01.11.2011",1,99.95,36,128494529
"950",108266,"13.12.2005",1,39.95,12.6,124519051
"951",103568,"03.10.2007",1,59.95,20.37,128412906
"952",106631,"12.05.2005",1,79.95,31.36,124479487
"953",184996,"19.06.2012",1,19.95,9.5,129458955
"954",103111,"12.09.2005",1,129.95,59.27,124399666
"955",198440,"20.02.2012",1,179.95,93.84,131829963
"956",120216,"24.09.2007",1,29.95,21.7,125346803
"957",171333,"09.02.2011",1,29.95,15,128811590
"958",193250,"22.11.2010",1,29.95,10.91,131317723
"959",130281,"18.12.2008",1,24.95,18,129080134
"960",108395,"29.08.2008",1,109.95,49.8,125958637
"961",187955,"11.06.2009",1,449.95,247.47,129969388
"962",191116,"17.03.2010",1,129.95,63.08,131112131
"963",122195,"26.11.2007",1,79.95,18.4,125466687
"964",146254,"17.05.2005",1,44.95,20.45,127900365
"965",132088,"17.11.2008",1,29.95,18.95,126088766
"966",161683,"14.12.2010",1,39.95,25.28,128414504
"967",181718,"01.06.2012",1,99.95,43,129230483
"968",154359,"22.10.2010",1,39.95,18.66,128171134
"969",164316,"14.12.2009",1,39.95,19.5,131038158
"970",128508,"20.05.2008",1,79.95,40,125840025
"971",172629,"10.07.2011",1,49.95,22.05,128867474
"972",110047,"20.11.2006",1,79.95,36,124904770
"973",135276,"16.12.2008",1,29.95,18.5,126260489
"974",136985,"31.03.2009",1,19.95,9,126391546
"975",197310,"29.11.2011",1,49.95,14.15,131709992
"976",120381,"10.03.2007",1,59.95,33.32,125357876
"977",196195,"20.09.2011",1,64.95,27.2,131607616
"978",149172,"11.12.2005",1,29.95,13.5,127994462
"979",181822,"01.10.2012",1,14.95,5.08,129235395
"980",135014,"17.12.2008",1,89.95,75.58,129077349
"981",166108,"13.11.2007",1,99.95,46,128602448
"982",140200,"11.09.2009",1,49.95,20.78,127605946
"983",127701,"28.11.2005",1,29.95,22.6,128022426
"984",190524,"14.12.2009",1,24.95,8,131037128
"985",116922,"31.01.2007",1,23.95,15.56,125114033
"986",119103,"07.01.2007",1,49.95,20.65,125263449
"987",176235,"26.11.2011",1,49.95,17,129011946
"988",171513,"23.05.2008",1,99.95,53,128820100
"989",116982,"02.03.2007",1,59.95,18.35,125117799
"990",184556,"26.05.2012",1,59.95,24,129424283
"991",154042,"23.05.2006",1,29.95,12.35,128158714
"992",140966,"22.11.2009",1,149.95,54.33,127651928
"993",179488,"23.02.2009",1,149.95,64,129130141
"994",125741,"28.01.2009",1,24.95,11.25,126337364
"995",167240,"23.01.2009",4,79.8,46.72,129109958
"996",129301,"28.06.2008",1,99.95,27.93,125890008
"997",162490,"05.04.2007",1,99.95,46.39,128444293
"998",114864,"12.06.2006",1,59.95,32,124984252
"999",188868,"11.09.2011",1,39.95,13.84,130037527
"1000",145037,"02.01.2005",1,59.95,24.5,127858569
